0,19.7793,195.817,4.6123,5042.89,70170,0.127784
1,17.5728,135.98,2.23721,1334.82,18573.4,0.153651
11,28.2221,221.446,2.99008,4967.15,69116.1,0.168548
12,31.9627,247.484,4.10371,5113.31,71150,0.201435
13,35.6602,272.903,5.42129,6860.33,95459,0.208888
14,39.458,298.72,7.01291,8044.46,111936,0.305428
15,43.822,328.058,9.15748,9203.19,128059,0.45872
16,52.3253,384.362,14.3776,10779.9,149999,1.49096
21,31.6224,336.496,12.0482,7466.87,103899,0.189719
22,36.3458,387.668,13.9365,8440.51,117447,0.150219
23,39.509,421.999,15.2075,9153.57,127369,0.180723
24,43.2373,462.525,16.7116,10241.9,142513,0.242247
25,47.1366,504.97,18.291,10998.6,153041,0.486572
27,53.1966,571.053,20.7574,14087.7,196026,0.714118
28,63.5121,683.827,24.9847,18265.3,254155,3.7461
29,75.9121,819.796,30.1082,25599.5,356207,10.8253
30,91.9253,995.935,36.7807,31956.8,444668,30.8147
33,43.6748,875.846,49.906,9738.09,135502,0.389487
35,49.6489,974.911,52.3097,11630.6,161836,0.348769
37,54.0825,1047.16,53.9775,14886.3,207138,0.48024
38,58.8934,1124.46,55.6919,19092.3,265664,0.820989
39,64.7399,1217.03,57.66,25037.8,348391,2.08605
40,75.0837,1377.53,60.8828,31670.8,440687,2.28276

0,4.18722,33.3676,2.14646,3689.52,51336.2,0.0955865
1,3.05805,37.9934,2.54826,3303.21,45961.5,0.0846304
11,3.3131,41.4567,3.43397,5065.18,70477.3,0.0829694
12,4.0506,65.9449,7.14012,6792.71,94514.1,0.10691
13,5.16005,96.5882,14.4715,9898.89,137734,0.178746
14,6.36367,137.836,25.1358,12754,177459,0.215259
15,7.61128,168.598,36.9347,15525.4,216021,0.29966
16,9.09926,202.847,52.2266,19353,269278,0.809058
21,4.70996,70.1104,8.51497,6552.97,91178.8,0.157922
22,4.45616,77.543,9.74382,7795.24,108464,0.163323
23,5.21438,100.97,15.1349,9860,137193,0.192021
24,6.73642,144.347,26.4315,12792.3,177992,0.235566
25,7.65162,172.948,37.8806,16526.8,229954,0.255824
27,10.7754,291.101,61.0147,21600.8,300555,0.487885
28,15.4782,489.085,84.4082,29132.2,405348,2.24164
29,22.8979,863.343,107.167,39794.4,553702,7.1257
30,41.1394,1910.35,149.414,49616,690361,17.5479
33,4.72244,65.1217,11.8008,9969.44,138715,0.544057
35,6.3393,124.64,35.3732,15832.7,220297,0.541068
37,7.56523,167.114,51.1502,20520.9,285528,0.591939
38,10.8768,317.938,71.2475,26654.3,370869,1.03061
39,17.9486,524.055,97.9127,35381.3,492297,2.63901
40,28.8846,1413.46,135.78,44859.7,624180,3.08537

0,8.72408,57.3149,4.66561,5667.31,78830.7,0.182052
1,4.76562,60.6409,4.27524,4507.64,62702.1,0.161983
11,6.18753,70.414,5.81446,6945.05,96607.3,0.279123
12,6.78987,97.4857,11.8284,8756.98,121809,0.271947
13,8.91063,155.823,23.6382,13010.3,180964,0.440346
14,10.4967,213.245,39.212,16831.4,234107,0.528929
15,12.2764,263.849,56.8111,20560.1,285966,0.694348
16,15.5861,346.146,86.1686,26170.8,363993,1.5075
21,8.75145,115.399,12.6366,9049.4,125883,0.317626
22,7.78623,124.948,17.836,10252.3,142609,0.336326
23,8.76219,155.073,25.8621,13048.2,181490,0.322274
24,10.7077,220.93,42.6952,17002.4,236484,0.372544
25,11.703,249.561,60.3561,21734.2,302297,0.441819
27,14.8876,383.418,87.9967,29537.6,410834,0.715185
28,20.6582,644.45,116.748,39511.4,549563,2.7202
29,27.5681,985.301,141.016,53803.2,748353,7.21067
30,45.8411,3383.99,184.287,63718.6,886292,21.0648
33,9.26415,130.638,23.6878,14017,194967,1.02003
35,10.1692,213.912,61.2529,21676.3,301501,0.938218
37,11.6756,269.658,86.2292,28518.3,396660,1.1677
38,13.9717,385.658,110.995,36793.2,511764,1.51364
39,20.1159,736.654,143.612,48140,669602,2.869
40,30.6676,2100.34,194.035,63155.5,878464,3.35989

0,10.2527,62.9832,14.5417,5797.5,80437.7,0.632697
1,5.91258,60.2662,12.1429,4577.86,63526.2,0.651432
11,8.10672,76.321,10.8458,7023.16,97464.7,1.04966
12,8.70425,101.775,23.871,8908.65,123617,0.93102
13,11.5459,163.28,40.7027,13394.3,185818,1.59926
14,13.1418,218.318,58.466,17487.7,242564,1.93803
15,15.0413,270.178,77.2618,21476.9,297868,2.30329
16,19.6687,379.437,127.575,27545.9,381989,3.92736
21,11.111,121.945,15.6901,9082.51,126062,0.896904
22,10.1627,131.514,31.8062,10418,144565,1.16117
23,11.4061,161.829,42.807,13503.7,187318,1.17684
24,13.0699,220.022,61.0492,17726.1,245857,1.3999
25,13.7735,249.9,79.1328,22641.8,314040,1.58593
27,16.7162,370.72,108.181,30794.9,427115,1.97242
28,22.1528,613.627,139.504,41081.8,569816,4.29428
29,29.4597,947.048,167.964,55768,773556,8.96815
